Date,Open,High,Low,Adjusted_Close,Volume,Returns,Volume_Change
2011-12-02,13.461231231689453,13.48254680633545,13.461231231689453,7.398857593536377,3190,0.002377885388107792,1.1252498334443706
2011-12-05,13.509193420410156,13.669065475463867,13.407939910888672,7.401787757873535,37718,0.0003960292923759212,10.823824451410658
2011-12-06,13.434585571289062,13.53583812713623,13.418598175048828,7.395933151245117,24395,-0.0007909719678452776,-0.35322657617052866
2011-12-07,13.48254680633545,13.53583812713623,13.397281646728516,7.393008232116699,60611,-0.0003954766854437075,1.4845665095306417
2011-12-08,13.407939910888672,13.503864288330078,13.269384384155273,7.413485050201416,37905,0.0027697545358817965,-0.3746184685948095
2011-12-09,13.461231231689453,13.72768497467041,13.445243835449219,7.489552974700928,22893,0.010260751048178696,-0.3960427384250099
2011-12-12,13.573141098022461,13.70103931427002,13.573141098022461,7.498329162597656,20454,0.0011717906163923875,-0.10653911676058181
2011-12-13,13.802291870117188,13.866239547729492,13.71169662475586,7.530509948730469,23832,0.00429172758823837,0.16515107069521862
2011-12-14,13.64241886138916,13.669065475463867,13.354649543762207,7.4164137840271,9007,-0.015151187035162716,-0.6220627727425311
2011-12-15,13.546496391296387,13.621103286743164,13.53583812713623,7.439813137054443,8257,0.0031550765246863843,-0.08326856889086265
2011-12-16,13.573141098022461,13.988808631896973,13.269384384155273,7.305240631103516,41095,-0.018088156714673564,3.9769892212668037
2011-12-19,13.466560363769531,13.60511589050293,13.466560363769531,7.419339179992676,29086,0.015618725604104489,-0.2922253315488502
2011-12-20,13.64241886138916,13.685051918029785,13.599786758422852,7.507103443145752,27397,0.011829121303652546,-0.058069174173141724
2011-12-21,13.738343238830566,13.908872604370117,13.685051918029785,7.635831356048584,19891,0.01714748089962259,-0.2739716027302259
2011-12-22,14.036770820617676,14.180654525756836,14.036770820617676,7.758707523345947,22330,0.016092048339966247,0.12261826956915178
2011-12-23,14.143351554870605,14.143351554870605,14.06341552734375,7.75578498840332,7694,-0.00037667806575170104,-0.6554411106135244
